Type;ANNEE;DateEvenement;Nombre
Naissances;1900;19000101;15
Naissances;1900;19000102;13
Naissances;1900;19000103;15
Naissances;1900;19000104;12
Naissances;1900;19000105;12
Naissances;1900;19000106;10
Naissances;1900;19000107;10
Naissances;1900;19000108;19
Naissances;1900;19000109;18
Naissances;1900;19000110;15
Naissances;1900;19000111;26
Naissances;1900;19000112;14
Naissances;1900;19000113;17
Naissances;1900;19000114;15
Naissances;1900;19000115;21
Naissances;1900;19000116;21
Naissances;1900;19000117;17
Naissances;1900;19000118;12
Naissances;1900;19000119;15
Naissances;1900;19000120;15
Naissances;1900;19000121;23
Naissances;1900;19000122;23
Naissances;1900;19000123;31
Naissances;1900;19000124;17
Naissances;1900;19000125;23
Naissances;1900;19000126;19
Naissances;1900;19000127;14
Naissances;1900;19000128;11
Naissances;1900;19000129;20
Naissances;1900;19000130;19
Naissances;1900;19000131;5
Naissances;1900;19000201;16
Naissances;1900;19000202;10
Naissances;1900;19000203;10
Naissances;1900;19000204;13
Naissances;1900;19000205;24
Naissances;1900;19000206;14
Naissances;1900;19000207;13
Naissances;1900;19000208;20
Naissances;1900;19000209;12
Naissances;1900;19000210;8
Naissances;1900;19000211;10
Naissances;1900;19000212;22
Naissances;1900;19000213;12
Naissances;1900;19000214;11
Naissances;1900;19000215;20
Naissances;1900;19000216;11
Naissances;1900;19000217;10
Naissances;1900;19000218;17
Naissances;1900;19000219;16
Naissances;1900;19000220;16
Naissances;1900;19000221;15
Naissances;1900;19000222;10
Naissances;1900;19000223;17
Naissances;1900;19000224;17
Naissances;1900;19000225;14
Naissances;1900;19000226;20
Naissances;1900;19000227;18
Naissances;1900;19000228;12
Naissances;1900;19000301;12
Naissances;1900;19000302;18
Naissances;1900;19000303;15
Naissances;1900;19000304;18
Naissances;1900;19000305;18
Naissances;1900;19000306;9
Naissances;1900;19000307;17
Naissances;1900;19000308;9
Naissances;1900;19000309;15
Naissances;1900;19000310;8
Naissances;1900;19000311;15
Naissances;1900;19000312;17
Naissances;1900;19000313;12
Naissances;1900;19000314;18
Naissances;1900;19000315;8
Naissances;1900;19000316;17
Naissances;1900;19000317;14
Naissances;1900;19000318;19
Naissances;1900;19000319;17
Naissances;1900;19000320;11
Naissances;1900;19000321;16
Naissances;1900;19000322;10
Naissances;1900;19000323;13
Naissances;1900;19000324;13
Naissances;1900;19000325;19
Naissances;1900;19000326;15
Naissances;1900;19000327;18
Naissances;1900;19000328;10
Naissances;1900;19000329;17
Naissances;1900;19000330;14
Naissances;1900;19000331;15
Naissances;1900;19000401;13
Naissances;1900;19000402;19
Naissances;1900;19000403;12
Naissances;1900;19000404;12
Naissances;1900;19000405;21
Naissances;1900;19000406;8
Naissances;1900;19000407;9
Naissances;1900;19000408;17
Naissances;1900;19000409;16
Naissances;1900;19000410;15
Naissances;1900;19000411;20
Naissances;1900;19000412;8
Naissances;1900;19000413;12
Naissances;1900;19000414;20
Naissances;1900;19000415;14
Naissances;1900;19000416;13
Naissances;1900;19000417;18
Naissances;1900;19000418;10
Naissances;1900;19000419;18
Naissances;1900;19000420;19
Naissances;1900;19000421;15
Naissances;1900;19000422;19
Naissances;1900;19000423;12
Naissances;1900;19000424;11
Naissances;1900;19000425;19
Naissances;1900;19000426;13
Naissances;1900;19000427;21
Naissances;1900;19000428;11
Naissances;1900;19000429;12
Naissances;1900;19000430;15
Naissances;1900;19000501;17
Naissances;1900;19000502;9
Naissances;1900;19000503;18
Naissances;1900;19000504;19
Naissances;1900;19000505;8
Naissances;1900;19000506;12
Naissances;1900;19000507;15
Naissances;1900;19000508;11
Naissances;1900;19000509;16
Naissances;1900;19000510;12
Naissances;1900;19000511;12
Naissances;1900;19000512;13
Naissances;1900;19000513;14
Naissances;1900;19000514;18
Naissances;1900;19000515;12
Naissances;1900;19000516;14
Naissances;1900;19000517;10
Naissances;1900;19000518;9
Naissances;1900;19000519;11
Naissances;1900;19000520;5
Naissances;1900;19000521;15
Naissances;1900;19000522;13
Naissances;1900;19000523;13
Naissances;1900;19000524;8
Naissances;1900;19000525;8
Naissances;1900;19000526;8
Naissances;1900;19000527;4
Naissances;1900;19000528;17
Naissances;1900;19000529;9
Naissances;1900;19000530;10
Naissances;1900;19000531;17
Naissances;1900;19000601;5
Naissances;1900;19000602;7
Naissances;1900;19000603;20
Naissances;1900;19000604;22
Naissances;1900;19000605;10
Naissances;1900;19000606;14
Naissances;1900;19000607;11
Naissances;1900;19000608;13
Naissances;1900;19000609;17
Naissances;1900;19000610;13
Naissances;1900;19000611;16
Naissances;1900;19000612;14
Naissances;1900;19000613;11
Naissances;1900;19000614;7
Naissances;1900;19000615;17
Naissances;1900;19000616;10
Naissances;1900;19000617;13
Naissances;1900;19000618;17
Naissances;1900;19000619;9
Naissances;1900;19000620;13
Naissances;1900;19000621;17
Naissances;1900;19000622;16
Naissances;1900;19000623;16
Naissances;1900;19000624;12
Naissances;1900;19000625;12
Naissances;1900;19000626;8
Naissances;1900;19000627;11
Naissances;1900;19000628;11
Naissances;1900;19000629;21
Naissances;1900;19000630;10
Naissances;1900;19000701;11
Naissances;1900;19000702;18
Naissances;1900;19000703;15
Naissances;1900;19000704;8
Naissances;1900;19000705;12
Naissances;1900;19000706;18
Naissances;1900;19000707;17
Naissances;1900;19000708;11
Naissances;1900;19000709;10
Naissances;1900;19000710;19
Naissances;1900;19000711;20
Naissances;1900;19000712;18
Naissances;1900;19000713;16
Naissances;1900;19000714;15
Naissances;1900;19000715;18
Naissances;1900;19000716;20
Naissances;1900;19000717;13
Naissances;1900;19000718;13
Naissances;1900;19000719;21
Naissances;1900;19000720;14
Naissances;1900;19000721;11
Naissances;1900;19000722;17
Naissances;1900;19000723;14
Naissances;1900;19000724;8
